MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
2007_1,0.747052009,0.881039126,0.319387624,2.162432145,4.706698582,0.23606377,0.169970101,3.95784867,0.203634148,1.539237857,0.895920907,0.396101117,0.376434947,0.309437475,0.828918231,0.796802058,1.647853896,2.310353633,0.593912348,0.58676724,0.433158116,0.362303851,0.178756863,1.429545913,2.977857773,1.321868572,0.271419247,0.293414821,0.775278438,0.177251944,0.402199845,2.414367368,0.32244398,0.461045182,0.442840434,0.709598145,0.696223862,0.418429329,0.663316186,0.426268158,0.326905027,0.427400814,0.341800731,0.262144769,1.294841303,0.161196596,2.650330846,0.309335141,0.740925933,1.616151698,0.065055161,0.140560583,0.196304876,0.142116395,0.162532084,0.224013002,0.252385936,0.121063831,0.24729501,0.123702521,0.533886993,0.307906331,1.684800822,2.250253353,0.139779149,1.293450249,0.817565922,0.241295576,0.13770083,0.109619585,0.141117251,0.123994444,0.556885688,0.111462315,0.14937917,0.152020089,1.58984546,Control,Saline,C/S,c-CS-s
2007_2,0.574138719,0.707865797,0.342571071,2.350289571,4.436730775,0.212781909,0.16973584,5.560485199,0.196978534,1.649558515,0.749148376,0.312946631,0.325088846,0.251491924,0.818642354,0.72312379,1.682733162,2.687690965,0.562366015,0.726837917,0.456753689,0.342612138,0.144105484,1.814399861,3.9162598,1.361632584,0.233452211,0.238086865,0.700962756,0.143602974,0.475470534,2.996431129,0.324436217,0.476743544,0.339993971,0.776671347,0.595582598,0.365427399,0.512676002,0.343551905,0.338579126,0.419935975,0.508243749,0.129330673,1.281373077,0.152342939,2.450675274,0.295354091,0.349400487,1.467650666,0.145005295,0.140421008,0.187353411,0.120510554,0.157379793,0.23835454,0.196320841,0.111142987,0.261393816,0.11200448,0.434528804,0.250214355,1.872612208,2.120580276,0.137399022,1.15539314,0.853408193,0.221937585,0.148060016,0.117769544,0.125414264,0.139083142,0.485725644,0.12425208,0.180957304,0.153034208,1.510396408,Control,Memantine,C/S,c-CS-m
2007_3,0.287130473,0.460500549,0.445206749,2.259420158,3.983693485,0.321260745,0.250503525,5.138842744,0.253390007,1.821784297,0.347371506,0.300219708,0.309428367,0.322429929,0.803724886,1.02520906,1.642279874,1.126712623,0.56220872,0.685879274,0.322349749,0.350742036,0.25625879,0.905502735,1.932294173,0.924631672,0.285292732,0.265617156,0.823503913,0.214806061,0.382961092,1.800638137,0.539625083,0.453054772,0.675870003,0.809190787,0.586230549,0.31460073,0.618418437,0.318320014,0.390803765,0.339156562,0.411623611,0.144554345,0.868601553,0.134189229,1.359829892,0.286425662,0.316884948,1.16097704,0.172741652,0.17565587,0.171834076,0.138103047,0.166838997,0.203134655,0.17638815,0.116190407,0.232761732,0.159856515,0.664222611,0.289965568,1.570174189,2.786252663,0.210554569,1.436262613,0.929304319,0.264635554,0.142515007,0.101313442,0.138215058,0.165013726,0.411677343,0.140221716,0.205924941,0.271311493,1.186137928,Control,Memantine,S/C,c-SC-m
2007_4,0.509633066,,0.322984207,2.317013732,4.726457308,0.215563455,0.250503525,4.7149989,0.163876032,1.582471887,0.771499397,0.320299045,0.312790659,0.242556885,0.811336128,0.74736667,1.872839746,1.211345582,0.409754689,0.756534701,0.427535102,0.415565509,0.199923773,1.328632049,3.262017005,1.465555699,0.266376693,0.276689586,0.758306252,0.192530453,0.415460118,2.063693437,0.312151583,0.580297038,0.48366629,0.818746156,0.724173744,0.374840024,0.542332858,0.403745689,0.30381611,0.449489303,0.219873823,0.176790864,0.876837221,0.186043701,0.932783085,0.269919621,0.292091813,1.493594096,0.059826819,0.156644384,0.171327093,0.10481224,0.14784038,0.177632274,0.199514423,0.12756415,0.243465414,0.108076292,0.352934074,0.230024966,1.348617461,1.818704931,0.150273522,1.072339974,0.692422462,0.174797136,0.12300097,0.162462041,0.105704944,0.139497652,0.49973441,0.10024,0.159672705,,1.662419479,Control,Memantine,C/S,c-CS-m
2007_5,0.264607543,0.478572949,0.212386795,3.075102881,4.800752274,0.227011874,0.177129287,5.394290243,0.280575874,1.420693783,0.335409366,0.305087724,0.284203179,0.380606425,0.944427849,1.048272037,1.960088272,1.192938945,0.472951567,0.722683305,0.250853269,0.35190806,0.151465575,1.293106858,2.23968957,1.323401488,0.261527883,0.29185962,0.709815603,0.17902296,0.333307725,3.194291151,0.894870084,0.468646199,0.493359241,0.959749085,0.572849024,0.331568166,0.593362569,0.32961411,0.382743419,0.455461432,0.390454714,0.172293353,0.972746738,0.147020208,1.696734943,0.285020268,0.358525541,1.485614766,0.093337875,0.16674487,0.181597111,0.121656875,0.170112657,0.185074157,0.140808668,0.11669711,0.226373313,0.164342172,0.511062114,0.264768374,1.751394478,2.305810203,0.154870282,1.360862726,0.740774147,0.19775737,0.124391797,0.108371403,0.121089339,0.123397353,0.477158394,0.140782998,0.114964371,0.18694356,1.089787357,Control,Memantine,S/C,c-SC-m
2007_6,0.203729311,0.58685076,0.361496392,2.406526444,3.076008926,0.248401635,0.194927335,3.26057848,0.223971934,1.209526401,0.339018814,0.315520246,0.295817183,0.316062137,0.552172299,0.984689318,1.750548369,1.244794872,0.420828207,0.821805405,0.246225261,0.405318035,0.20666664,1.29110784,2.381794566,0.978254326,0.271372741,0.207253884,0.612232812,0.182399862,0.389255281,1.993936741,1.43836326,0.573131094,0.510393816,0.833057016,0.693748999,0.455882902,0.643984135,0.30532011,0.315769379,0.576469485,0.34512666,0.161550232,0.928107205,0.138530912,1.514374173,0.337284029,0.241406872,1.329276915,0.068680113,0.187642355,0.181851305,0.13796328,0.175125972,0.194117091,0.140697666,0.132358489,0.222878631,0.160553546,0.643302876,0.315382518,1.773203257,2.606164805,0.203552946,1.312200666,0.705025296,0.24935021,0.17898247,0.200220086,0.132663787,0.165773763,0.579440989,0.247501499,0.256141686,,1.196897511,Control,Saline,S/C,c-SC-s
2007_7,0.513684736,0.603509658,0.333046643,2.606209897,2.111449827,0.212095283,0.217305221,3.284681021,0.261323035,1.456708634,0.650922045,0.368873223,0.389333577,0.306048585,0.960302707,0.887494622,1.823700349,2.454339133,0.544180775,0.589234733,0.470194414,0.340649031,0.22104845,0.865345399,1.52961229,1.253216632,0.275426225,0.286652842,0.712913774,0.152665198,0.485545786,1.878607315,0.380449809,0.467528628,0.482434863,0.801670873,0.576047363,0.369913814,0.589369667,0.353450611,0.387416201,0.433924451,0.667140866,0.243369941,1.094821392,0.162998739,2.46410705,0.310695852,0.482909988,1.057478458,0.293048575,0.149363289,0.165137772,0.134384571,0.160861004,0.211235533,0.210182501,0.124636885,0.223190301,0.124683254,0.512434573,0.309408809,1.754598981,2.486949358,0.166097145,1.226906071,1.050143192,0.231554386,0.142304371,0.12532738,0.137788576,0.113015835,0.477337583,0.164731887,0.167839995,0.158255319,1.590836125,Control,Memantine,C/S,c-CS-m
2007_8,0.352040439,0.68180559,0.348379564,2.596666047,5.516009584,0.275277822,0.178907681,5.033547842,0.224373962,1.376809639,0.665073141,0.316475883,0.377713245,0.278962387,0.937960797,0.978931677,1.802507994,1.338206092,0.471563132,0.659420476,0.423607916,0.343711572,0.176911429,1.49864377,3.887592298,1.113216489,0.250359478,0.282046299,0.659988764,0.150097023,0.396591901,2.242950247,0.623306459,0.439915398,0.444912707,0.836990861,0.536868922,0.487101867,0.645268323,0.303394853,0.314700219,0.49443524,0.494305717,0.191094204,1.084849869,0.167628222,1.664890486,0.266525565,0.349328645,1.605545671,0.111356756,0.1403935,0.21377353,0.121177758,0.159496199,0.18964024,0.197662862,0.125491519,0.222012021,0.159472919,0.559197581,0.261030691,1.877749294,2.655835603,0.157330667,1.323028506,0.880898962,0.258148171,0.143638378,,0.121187307,0.113410846,0.539088836,0.146711601,0.177966858,0.172317488,1.135153577,Control,Memantine,S/C,c-SC-m
2007_9,0.296620596,0.383133825,0.272967533,2.017603105,3.928136313,0.207611382,0.202162087,4.409996675,0.205529724,1.399213958,0.413074784,0.30449659,0.281752721,0.387818844,0.816540424,0.72092219,1.407272928,1.05598493,0.442609508,0.622911884,0.235051421,0.383377705,0.181730595,0.903493317,1.920969564,0.90873382,0.272969987,0.201522063,0.664339206,0.218290061,0.347696022,1.816024563,0.248008313,0.299476274,0.358866568,0.617682805,0.52500364,0.28688728,0.553176413,0.354675667,0.248060031,0.358664382,0.422571858,0.178788771,0.762297946,0.169255844,1.837550398,0.299707729,0.538547052,0.895919911,0.381152847,0.194910181,0.174588894,0.118859875,0.1413219,0.170870038,0.201597583,0.126296659,0.187635274,0.108076036,0.421333785,0.285533907,1.425221898,2.465616528,0.162753398,1.364287705,0.754043124,0.206527005,0.105861914,,0.113374832,0.093765536,0.436351161,0.21500955,0.114964371,0.336943922,1.496833452,Ts65Dn,Saline,S/C,t-SC-s
2007_10,0.297167377,0.4635722,0.284790495,2.86359777,3.127626497,0.24327995,0.18117304,4.424606985,0.216089522,3.370909446,0.335511015,0.376785898,0.307989594,0.387818844,1.005256013,1.018717521,2.01052408,1.609781285,0.458591855,0.742101422,0.236316849,0.355263868,0.183993576,1.878169204,3.819169505,0.678907104,0.250181016,0.308828068,0.939911514,0.17186345,0.470851485,3.194291151,1.43836326,0.533396975,0.392630744,0.958094079,0.553159766,0.518893484,0.493318304,0.347545133,0.296762453,0.413255258,0.593748575,0.214090995,1.340899362,0.125146269,1.612526543,0.300501968,0.50845633,2.218065533,0.56778002,0.163521181,0.188691134,0.130402866,0.180333912,0.218475931,0.370448419,0.128735121,0.225101861,0.147675044,0.518468303,0.358114234,1.770416947,2.455081013,0.151917535,1.56590292,0.758870644,0.238656864,0.170864052,0.132615336,0.131100021,0.115768952,0.474421529,0.419906137,0.139421422,0.361129517,2.038111428,Ts65Dn,Memantine,S/C,t-SC-m
2007_11,0.481347021,0.417682005,0.26490827,2.125459621,3.620991243,0.175281119,0.145775956,2.377732469,0.146647642,0.835012441,0.293932257,0.253467017,0.323614541,0.218586608,0.552172299,0.744137127,1.423613661,2.687690965,0.444685125,0.614435582,0.349285927,0.250328803,0.138436589,0.831270488,2.06961168,1.683727162,0.180053495,0.176193403,0.603432668,0.115017986,0.329231298,1.278094252,0.451405716,0.41114157,0.369822993,0.638276831,0.446121377,0.324894729,0.435500029,0.341496865,0.225838264,0.445391698,0.373594274,0.166338112,0.656229821,0.157706332,2.348647812,0.252518391,0.456304613,1.339677713,0.14301428,0.202929989,0.183460752,0.095086757,0.145922094,0.142461031,0.149480749,0.128483788,0.176077425,0.120358513,0.432838698,0.295688884,1.05284736,2.094160447,0.11386395,1.009728947,0.911366877,0.236831251,0.188628401,0.114007094,0.095571442,0.137454002,0.422482274,0.107600266,0.150592002,0.204113474,1.511420266,Ts65Dn,Saline,C/S,c-CS-s
2007_12,0.212070284,0.419092052,0.259907898,2.076787406,3.099209364,0.259476663,0.185377746,3.334780872,0.192714329,1.187863237,0.327870599,0.329565026,0.283676608,0.29825176,0.842511538,0.732876637,1.504620984,1.247027265,0.398621912,0.603159895,0.249930291,0.319130404,0.17493351,1.114655146,2.496739408,0.994804098,0.211576069,0.252571886,0.613127248,0.165952869,0.345793535,1.945378409,0.781191603,0.487027638,0.505152105,0.801065675,0.603633318,0.330549578,0.568607642,0.363997,0.33830067,0.478766507,0.383629124,0.165167864,0.892066797,0.16000046,1.58009844,0.305097827,0.268452718,1.129695429,0.136139641,0.150079618,0.188583309,0.130535071,0.154406571,0.185597449,0.206193281,0.111485504,0.304655924,0.140354935,0.699816841,0.304772456,1.627389267,2.116860252,0.174634304,1.413608134,0.838761396,0.212253916,0.158355812,0.146442836,0.137743731,0.168004812,0.567241448,0.170365077,0.203143528,0.294196496,0.804152821,Ts65Dn,Memantine,S/C,t-SC-m
