MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
4050_1,0.179262795,0.887094029,0.366064519,2.101512126,5.111881703,0.191821238,0.140430443,2.902707168,0.166184838,1.621718451,1.550495243,0.206812512,0.357143168,0.241426163,0.890485891,0.368834712,1.654879892,2.4900569,0.540417964,0.684762349,0.480699922,0.342457357,0.149390751,1.803777842,2.590541318,1.354884689,0.216807228,0.280804887,0.671097742,0.145249214,0.369499675,1.406098521,0.283774831,0.303942067,0.341778935,0.61749963,0.555835907,0.398214362,0.483279029,0.340681041,0.230900943,0.355284898,0.405849296,0.186108532,0.81437635,0.162975148,2.078858785,0.30466429,0.369486745,1.035900345,0.133774759,0.155923032,0.181822393,0.11348741,0.140286307,0.143177154,0.144388367,0.12003396,0.28877252,0.129598089,0.434943432,0.270997644,1.496931221,2.25687624,0.125654346,1.124482964,0.907875285,0.218636635,0.190408008,0.115004272,0.111557319,0.125422042,0.472866434,0.144462395,0.164899095,0.148057205,1.547883463,Control,Saline,C/S,c-CS-s
4050_2,1.875890736,0.381604466,0.308748092,2.757209644,4.222221186,0.339803094,0.174590339,2.83104504,0.244105884,1.389775368,0.685324896,0.237037855,0.389932124,0.17528815,0.886120119,0.636420003,1.521433498,1.267769155,0.461774772,0.627800521,0.29666637,0.351203827,0.143688349,1.932519514,2.179000902,1.139087591,0.21669355,0.259206093,0.74256687,0.137426187,0.47973118,2.160031017,0.416497448,0.430436049,0.483659598,0.665061618,0.548451006,0.398921563,0.558490061,0.39030352,0.276025003,0.397664975,0.364779633,0.196892823,0.752706966,0.156291116,1.496988699,0.275624755,0.360913298,0.972852967,0.145899609,0.149930685,0.173084059,0.151460835,0.169180503,0.118818549,0.152822066,0.118595077,0.213400283,0.129442461,0.557860796,0.274168186,1.458601354,2.550533581,0.153342221,0.986316899,0.869171367,0.198474445,0.135475288,,0.126888429,0.107435938,0.462959973,0.115479951,0.187527327,0.153382438,1.890598157,Control,Memantine,S/C,c-SC-m
4050_3,0.179262795,0.601128441,0.372248785,2.337541694,3.063030573,0.191844011,0.146548232,2.797278932,0.195914194,1.502648009,0.656763868,0.229041817,0.256822278,0.257088009,0.747009254,0.417117965,1.245906962,1.795836103,0.309511105,0.661972996,0.491481968,0.321932823,0.145213802,0.870181612,2.204230983,1.070870617,0.212658924,0.27283691,0.655908868,0.149591505,0.326255589,1.278094252,0.297953894,0.362502598,0.354824752,0.683876072,0.591865956,0.338195362,0.401235842,0.347569383,0.228527505,0.386121522,0.146940228,0.129330673,1.038295994,0.193969313,0.978185161,0.359966721,0.486703554,0.967497098,0.058405282,0.149670238,0.171678926,0.124325617,0.156841677,0.18644895,0.259698542,0.108555095,0.181357116,0.105518031,0.553435017,0.256639214,1.319514623,2.318753114,0.168823662,1.151258704,0.846476217,0.238496504,0.152166523,0.1280901,0.104976354,0.115073683,0.325492671,0.103281483,0.166629353,0.186846532,1.496626681,Ts65Dn,Memantine,C/S,t-CS-m
4050_4,0.302852324,0.453587756,0.30030532,2.385034915,4.890300863,0.256684198,0.176805694,4.399591616,0.200331505,1.325502442,0.409008195,0.395928042,0.291600377,0.290577269,0.838861825,0.979865923,1.87528092,1.205477242,0.411467412,0.72494649,0.25136059,0.388669807,0.169242178,1.068965944,2.028841277,1.096791899,0.23887816,0.27259057,0.717373914,0.147512607,0.388566962,2.490332336,1.43836326,0.482686317,0.451163701,0.888418398,0.519439296,0.385265442,0.526056459,0.309349166,0.295060113,0.39122247,0.315567225,0.210934073,1.075514917,0.132515693,1.542225387,0.270399316,0.343420071,1.226842129,0.172381984,0.167079026,0.199453381,0.131607761,0.166547026,0.211057179,0.172449536,0.127308427,0.248710474,0.140630528,0.52990186,0.358114234,1.477181633,2.697747467,0.165989022,1.302251749,0.982558149,0.226749972,0.141855117,0.134727462,0.139216621,0.142881782,0.56014211,0.112359714,0.183668346,0.182163852,1.666090993,Control,Memantine,S/C,c-SC-m
4050_5,0.478479244,0.537984043,0.272465981,2.356440217,4.906209459,0.220494516,0.201879335,5.584232422,0.238927679,1.695955622,0.412736551,0.366450669,0.41696208,0.34679148,0.89146619,0.753401429,1.788895778,2.265752646,0.588844812,0.626878226,0.4468318,0.423168361,0.211656662,1.011463538,2.550058132,1.225455106,0.22740873,0.324344511,0.744571537,0.180466404,0.425631329,2.104591501,0.393403548,0.529999956,0.505087888,0.299121951,0.730337872,0.474907101,0.736622328,0.428686779,0.414917848,0.548180144,0.771840624,0.201688253,0.919907571,0.195978354,2.553483931,0.371645163,0.382578131,1.358742342,0.299844089,0.193132914,0.175598329,0.101069982,0.146061241,0.171951993,0.167552786,0.129231908,0.190476247,0.131730134,0.378993454,0.336205706,1.478137453,2.372330935,0.151604914,1.018950337,0.626595498,0.203405311,0.200074835,0.189939717,0.113236337,0.197284345,0.434009015,0.164626295,0.149796989,0.254025959,1.046813713,Control,Saline,C/S,c-CS-s
4050_6,1.298198447,0.574333138,0.301518962,2.181842663,3.256633761,0.242516574,0.19254256,5.202280025,0.233870307,0.806047967,0.220886,0.394414676,0.415318401,0.387818844,0.899303308,0.734358741,1.754083594,1.067392239,0.568092448,0.742103024,0.263957132,0.405614427,0.128250073,1.152133907,2.589852298,0.678907104,0.260684867,0.208297784,0.739207516,0.203518164,0.389346081,,1.029351645,0.49747462,0.348135392,0.770107651,0.443000086,0.311375168,0.584460018,0.341110216,0.274032095,0.318823206,0.556469267,0.168151725,0.733748684,0.135729767,1.909461851,0.253441796,0.393539692,0.892417573,0.844688078,0.157895519,0.172217002,0.118748465,0.143729249,0.199364577,0.258649761,0.111939571,0.183319261,0.104229949,0.552705901,0.284830446,1.390741719,2.161313079,0.140195238,1.2108629,0.739232437,0.218157271,0.146395504,0.108841991,0.115730475,0.093765536,0.331433122,0.200077972,0.171617563,0.272914142,1.403533955,Control,Saline,S/C,c-SC-s
4050_7,0.664117675,0.831443707,0.401984007,2.640335572,5.700525082,0.171348501,0.150487043,1.487357775,0.201403111,2.90809233,1.085395646,0.18358209,0.423695828,0.387818844,1.1194887,1.03188391,1.819913878,2.391375058,0.281259943,0.364552239,0.696486344,0.250328803,0.183938288,2.383446537,4.285573692,1.513548759,0.172133253,0.176193403,0.861166869,0.129123434,0.551572019,2.768321195,0.308868007,0.351535308,0.305662676,0.536237828,0.458956079,0.344429487,0.506400944,0.314932047,0.275188636,0.443987922,0.286057527,0.20723209,1.026767759,0.163769186,1.36679859,0.289717826,0.447425562,2.176110973,0.105081983,0.157077335,0.189882013,0.109652887,0.157144969,0.189438373,0.164546329,0.11439153,0.205630686,0.142764685,0.471084189,0.270158086,1.67107426,2.265736839,0.145575681,0.877930215,0.831227354,0.174797136,0.125131754,0.129662947,0.107078353,0.119746365,0.406443959,0.193415254,0.157426921,0.167394176,1.831685834,Control,Memantine,C/S,c-CS-s
4050_8,0.379944499,0.56712376,0.351263579,2.152277506,3.937232271,0.244095617,0.204396382,5.22260566,0.210011977,1.289387688,0.398016074,0.333566797,0.307202379,0.301599281,0.824734996,0.822259759,1.61119866,1.158329797,0.455671811,0.638700875,0.375141138,0.464011888,0.212987747,1.185708765,2.226739949,1.126558323,0.287293263,0.298514201,0.749314359,0.178185788,0.454647185,2.207599021,0.848371162,0.560187478,0.565918393,0.857185909,0.612926756,0.427250411,0.685136055,0.301260684,0.356591021,0.402755212,0.402146018,0.147260067,0.711071207,0.162673136,1.482376342,0.303665367,0.320981513,1.453901133,0.069460463,0.17643674,0.185717325,0.131462563,0.155969094,0.182560551,0.177814838,0.127261418,0.246732878,0.157322367,0.652199177,0.227200947,1.613567448,2.436306884,0.192870427,1.431900938,0.831432831,0.278436157,0.200077109,,0.136462563,0.159255345,0.414904974,0.235030099,0.255292663,0.235221899,1.015830225,Control,Memantine,S/C,c-SC-m
4050_9,0.273692028,0.53655091,0.336066916,2.3563966,3.235036135,0.271720646,0.182600478,1.817380422,0.20471194,1.002126691,0.297819773,0.328926752,0.336623302,0.281541536,0.859768761,0.841725398,1.586518838,1.307492687,0.402994278,0.648562655,0.271947898,0.314579817,0.183961936,1.474011352,2.92916,1.203614342,0.246255783,0.306547605,0.793238823,0.182670633,0.372851384,2.03700456,0.339843285,0.49668567,0.448878271,0.726144718,0.559847786,0.393897083,0.578983211,0.386740721,0.312545626,0.454018916,0.205562277,0.166669907,0.992304172,0.165279668,0.91223546,0.291979715,0.433991013,1.123961375,0.087859391,0.172327095,0.17721514,0.118281392,0.157029941,0.170224833,0.160675781,0.111227213,0.231730385,0.103438424,0.490428434,0.274494957,1.356897702,2.333884807,0.137741091,1.04663197,0.721170909,0.185314986,0.176478003,,0.116421916,0.09885296,0.493982081,,,,1.062433203,Control,Saline,C/S,c-CS-m
4050_10,0.615379041,0.971250159,0.325170658,2.010779133,3.532289059,0.279637406,0.177752087,2.782005153,0.22519822,3.710041105,0.870160315,0.340259012,0.363892623,0.298121396,0.832608957,0.774363846,1.691365345,1.803747338,0.449253011,0.755924802,0.372124867,0.437821833,0.224506022,1.292400442,2.910410247,1.164022309,0.284307637,0.282309493,0.736125569,0.18760647,0.42409296,2.01822018,0.337141492,0.390724764,0.309696873,0.761608449,0.564178559,0.312953174,0.543404508,0.261220403,0.307238064,0.348692013,0.36520008,0.262144769,1.066756938,0.180833934,1.987336483,0.316405327,0.542739083,1.125040002,0.109817462,0.181754012,0.198357501,0.13895802,0.18359088,0.198113278,0.281254553,0.136365306,0.202829262,0.111368248,0.548033829,0.227200947,1.043179833,2.402743461,0.147618044,1.191053074,0.967812181,0.199075415,0.132492107,0.111721168,0.11842886,0.093765536,0.474476527,0.125564257,0.169357531,0.197387371,1.425158357,Ts65Dn,Memantine,C/S,t-CS-m
4050_11,0.179262795,1.911207582,0.445206749,2.758063044,4.073575031,0.249020886,0.188211021,2.356506303,0.174166597,1.753084619,1.702325255,0.325347159,0.300340771,0.300380005,1.049412736,0.866024331,2.175547098,1.884570508,0.324398867,0.713535145,0.347394054,0.33362097,0.175296058,1.464968361,3.377398218,1.349395874,0.266212351,0.367081448,0.892765843,0.173621706,0.400175626,3.194291151,0.319760152,0.564398085,0.258723958,0.891005202,0.60160037,0.402343488,0.60028208,0.44778067,0.406853557,0.509526158,0.368167389,0.208616016,0.894551409,0.157034815,0.643948172,0.293473121,0.307303078,1.572016453,0.135137563,0.163940858,0.193129934,0.118000815,0.164830425,0.205412573,0.181376561,0.13969088,0.219865274,0.139398652,0.491384574,0.28574976,1.533390562,2.530398392,0.16776265,1.257971078,0.790326997,0.227225316,0.145972002,0.148658941,0.118030815,0.190347237,0.482328614,0.13394778,0.162191758,0.171263351,1.425337462,Ts65Dn,Saline,S/C,t-SC-m
4050_12,0.812775136,0.855793259,0.414933535,2.426844889,3.564679451,0.195290788,0.139447855,3.633415777,0.200483919,1.630877019,0.440870238,0.370782953,0.309620349,0.319999073,0.996356751,0.877562175,1.798457198,1.271113581,0.460001955,0.890338945,0.452201091,0.509441088,0.130659573,1.786871871,3.627313029,1.271657681,0.269572837,0.26644828,0.803962837,0.246882793,0.368062808,2.561377582,0.869305293,0.407757691,0.421251716,0.895194775,0.755675114,0.343973036,0.659577844,0.397251145,0.280709335,0.355243476,0.454405686,0.129330673,1.152706326,0.147730265,1.496458763,0.278535556,0.206872893,1.395737729,0.110341353,0.168933759,0.171949206,0.136909567,0.151940275,0.196814612,0.183153568,0.115668088,0.217500969,0.134060652,0.51062353,0.273705015,1.916702685,2.369278304,0.17636741,1.245182445,0.752102436,0.212468235,0.159029277,0.107929928,0.132907568,0.127238932,0.4754076,0.144391973,0.148227967,0.142229792,1.0107306,Control,Saline,S/C,c-SC-s
4050_13,0.268473543,0.46443143,0.331054541,2.433979796,4.758391268,0.278793821,0.195466428,3.618514905,0.230937071,1.21979797,0.507119533,0.340811045,0.29646198,0.295155435,0.81450976,0.785221573,1.699569998,1.244993831,0.409681307,0.694966952,0.375948445,0.310736845,0.199641971,1.940053033,2.108200935,1.20395216,0.241386688,0.261295582,0.752696393,0.162556221,0.381861568,2.228801073,0.822076738,0.44461884,0.345116896,0.734055114,0.578193478,0.335485749,0.594188276,0.339917741,0.283243699,0.376904984,0.395142177,0.136514728,1.076914034,0.152387662,1.934996418,0.290196866,0.358172292,0.917219527,0.058405282,0.162402122,0.183757808,0.128783785,0.161545003,0.182420774,0.201994291,0.123228086,0.211548523,0.112050034,0.544790553,0.29794509,1.568263254,2.456809763,0.152245315,1.478656586,0.871972411,0.228135492,,,0.133968372,0.118625781,0.4966225,,,0.280767436,1.771407875,Control,Memantine,S/C,c-SC-m
4050_14,0.525307675,0.82937112,0.331156693,2.661619075,5.360570291,0.222926554,0.162425765,2.594779064,0.271646072,1.856644406,2.467236025,0.276172164,0.330941422,0.277613062,0.831541269,0.566386465,1.685740679,2.687690965,0.411122716,0.644359186,0.529131276,0.321689661,0.182274259,1.660879018,2.889087805,1.471491418,0.242836266,0.270150414,0.721159932,0.177746221,0.462861361,2.410509999,0.397389366,0.317348984,0.435706487,0.607622693,0.571791664,0.384814598,0.504160185,0.364503964,0.314180799,0.425898918,0.244807514,0.129330673,0.949895762,0.185994489,1.694397746,0.297984484,0.319242311,1.304807282,0.071337891,0.14910321,0.18511593,0.112378032,0.140577019,0.164018152,0.147885641,0.134792701,0.251518067,0.134411707,0.470473405,0.248992872,1.204897541,2.025848256,0.125775189,0.954229177,0.833490335,0.193709558,0.138190411,,0.106328231,0.122463718,0.468183426,0.1107673,0.146705896,0.132462328,1.666348509,Control,Memantine,C/S,c-CS-s
4050_15,0.297336515,0.46461039,0.319596561,2.417877493,4.258590215,0.244993188,0.205730288,4.96614552,0.247153259,1.611684287,0.393527555,0.341960097,0.376065792,0.308146424,0.814357779,0.830469429,1.614277948,1.210439986,0.47099325,0.742774339,0.255851669,0.380504072,0.189008505,1.231271253,2.751037093,1.187197195,0.238459212,0.290798689,0.61431024,0.137731073,0.365827542,2.207704291,0.522312776,0.464155901,0.441195023,0.818367367,0.613624665,0.379282292,0.533001675,0.320612486,0.331259287,0.388120651,0.319542168,0.17774129,1.04335525,0.142655211,1.574306344,0.289535965,0.332914242,1.590128347,0.146729015,0.168290985,0.203144936,0.126741011,0.168695681,0.19116584,0.143049888,0.127347969,0.204796421,0.101993128,0.569316162,0.293846045,1.476606262,2.353857005,0.157251525,1.413681781,0.821991808,0.216197714,0.126470843,,0.126807737,0.124957195,0.481024708,,0.253082762,,1.07916492,Ts65Dn,Memantine,S/C,t-SC-m
3910_1,0.319171661,0.580313667,0.369498855,2.557427484,3.877841836,0.339803094,0.197123626,3.154334004,0.137958533,1.121680141,0.336055461,0.346028132,0.262370343,0.325122851,0.97778183,0.99318082,1.856722987,1.208209829,0.303310648,0.823288483,0.266282842,0.480360378,0.236682039,1.149341808,2.452252399,1.108885574,0.287316075,0.257529196,0.630777865,0.188292255,0.336226458,2.060331242,0.862819803,0.471733976,0.455977133,0.861046739,0.652912999,0.382973911,0.598631587,0.331031993,0.307784391,0.378812032,0.478016598,0.181896181,0.981075407,0.1493853,1.848968191,0.300336012,0.490343799,1.125207819,0.093073266,0.136813757,0.162989135,0.129189039,0.160018832,0.183547083,0.165276684,0.123158628,0.244471156,0.156415491,0.585451303,0.245735691,1.763900924,2.409866779,0.186138116,1.437439437,0.835679861,0.201760199,,,0.122425011,0.112557419,0.47625891,0.090530697,0.261297163,0.2454031,1.127894828,Control,Memantine,S/C,c-SC-m
