MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
4465_1,0.586757032,0.748450635,0.271178285,1.904782701,3.728888496,0.188271118,0.152147795,2.335605823,0.195609386,1.573817394,1.506772832,0.261985365,0.222398844,0.219502232,0.780871759,0.556266395,1.297984143,0.98483952,0.34757584,0.531433814,0.454340362,0.250328803,0.15384202,0.852807228,2.525292746,1.895088159,0.190114537,0.242436454,0.668627972,0.122654512,0.297614365,1.649754532,0.260162518,0.377799438,0.363527334,0.666507595,0.481431042,0.294351025,0.456356103,0.341222964,0.250535329,0.340740082,0.201859728,0.161230913,1.072092143,0.176554527,0.643948172,0.25428157,0.485510567,0.855491488,0.093348036,0.178518983,0.197907625,0.106609718,0.140629668,0.163432331,0.149588181,0.116799598,0.254846431,0.135405377,0.569039171,0.260649806,1.043179833,1.853235073,0.128835623,1.008600945,0.879434546,0.228583389,0.16808217,0.10757817,0.103609712,0.127475063,0.359606692,0.126718482,0.118650922,0.166678935,1.406056626,Control,Memantine,C/S,c-CS-m
4465_2,0.382390322,0.406382263,0.377140156,1.96352502,3.161342607,0.216069184,0.218356244,3.783963363,0.165622705,1.314724792,0.381954139,0.372072429,0.268370979,0.280327729,0.896534155,0.347869177,1.725469454,1.198546481,0.409722865,0.738453426,0.239405349,0.320064461,0.128250073,1.392884845,1.565791919,0.829892406,0.204906969,0.237798881,0.650075249,0.147399113,0.364693115,1.567266722,0.552893607,0.565725121,0.583076022,0.957698115,0.724837993,0.360679454,0.593330424,0.258620181,0.390870943,0.428737907,0.445913721,0.154922364,0.863536017,0.137701393,1.344590447,0.302637407,0.280820522,1.37135212,0.142823211,0.199293464,0.189650951,0.122306717,0.159924848,0.177317721,0.189548415,0.12790761,0.270642156,0.163591508,0.69391067,0.294615724,1.730412341,2.467908662,0.119887919,1.399279023,0.875829042,0.186008986,0.125105021,0.093938947,0.131506794,0.136493896,0.437001648,0.195749168,0.115409323,0.285611185,0.98140936,Control,Memantine,S/C,c-SC-m
4465_3,0.201870106,0.41604756,0.245797909,1.86024259,2.640822088,0.223753764,0.166520327,2.561614458,0.183218848,1.163149283,0.220245251,0.294211227,0.26186367,0.269743555,0.724794725,0.540941374,1.224755922,0.911721265,0.459656924,0.511893023,0.258973007,0.307608657,0.161925665,0.80725733,1.673267863,0.728476107,0.212469888,0.297287305,0.598652409,0.144969721,0.296698636,1.735883751,0.581521457,0.395513848,0.306551858,0.579969692,0.455538667,0.246283449,0.419540649,0.239771151,0.248512007,0.351448835,0.617810878,0.139135789,0.850499046,0.154905272,1.268455155,0.289000383,0.322517216,0.720740479,0.348123606,0.181780477,0.184383133,0.124184568,0.154450889,0.190338475,0.311948746,0.142890403,0.204403341,0.109684601,0.639354166,0.274130218,1.414401628,2.192604688,0.178707206,1.060690504,0.702809251,0.243994821,0.192082844,0.14164404,0.127684884,0.170125821,0.442066159,0.148310485,0.265955841,0.347687769,0.930588498,Control,Memantine,S/C,c-SC-m
4465_4,0.441871428,0.575723956,0.391729302,1.925511476,2.682159953,0.268101145,0.197269964,2.685363698,0.166746671,1.384712425,0.341456802,0.306240806,0.324620245,0.387818844,0.785534266,0.59506042,1.382524375,1.046336516,0.462014181,0.535483935,0.250732931,0.301301102,0.200739994,0.849861891,1.284090909,0.994025957,0.238003646,0.241063859,0.523382766,0.219126996,0.390540723,1.603284511,0.768502202,0.463820668,0.380234958,0.71400881,0.504145646,0.246283449,0.575699667,0.258440619,0.294896977,0.333215866,0.517411061,0.167912511,0.830259008,0.141111661,1.263453425,0.371645163,0.197573811,1.030675081,0.363156018,0.184621609,0.169519036,0.128179496,0.1665814,0.232380306,0.288628532,0.106130617,0.184795268,0.119976999,0.601208199,0.278606097,1.873826697,2.220964582,0.164521491,1.302281787,0.826303626,0.237998489,0.111303303,0.154236312,0.128359469,0.145580311,0.369883697,0.146766859,0.226427068,0.282827032,0.701771585,Ts65Dn,Memantine,S/C,t-SC-m
4465_5,0.735086086,1.032359286,0.315004341,2.88096433,5.702172771,0.208029771,0.203622168,3.379075969,0.214460596,1.679855662,0.619569805,0.32017867,0.398035031,0.246368458,0.936198654,0.724616409,1.751833719,1.263485608,0.420619504,0.749599108,0.601929207,0.383053526,0.17086623,1.189824513,2.839417838,1.354171252,0.261252971,0.253284206,0.706296182,0.180691661,0.500956662,2.108001341,0.355793455,0.478178637,0.439506148,0.764039516,0.5847779,0.405939416,0.649601555,0.402682078,0.378933381,0.499032122,0.362129625,0.169890894,0.989541229,0.185046478,1.913429459,0.213871066,0.352797495,1.29659586,0.074026801,0.149245306,0.19353384,0.128383331,0.168021029,0.184257423,0.192623001,0.124592233,0.253107266,0.134823841,0.653227871,0.254407617,1.437344431,2.038342909,0.116470706,1.352052544,0.728782119,0.278257998,,,0.121087285,0.093765536,0.437760624,,,0.185201502,1.729847416,Control,Memantine,C/S,c-CS-m
4465_6,0.415978276,0.677180908,0.317500198,2.684025541,3.916901649,0.267360581,0.163422924,3.64145595,0.211177649,1.532482911,0.687885723,0.325566527,0.438426079,0.241536205,0.949806429,0.641985847,1.450978992,1.760573983,0.582333999,0.697207661,0.625497238,0.364184522,0.159392161,1.574970955,2.361729527,1.316789415,0.231728144,0.319799346,0.703498581,0.165143365,0.485940947,2.440931214,0.312613154,0.299476274,0.357118693,0.733502414,0.593905602,0.308608656,0.530543872,0.342989441,0.225838264,0.366532565,0.558481076,0.204810298,1.138270771,0.171525517,2.904406278,0.36735727,0.612597572,1.215958908,0.315751944,0.165026803,0.201196723,0.138178284,0.176720593,0.186531046,0.263374234,0.12589084,0.215369464,0.132444859,0.527969838,0.312906365,1.570256421,2.483897094,0.128908645,1.357480415,0.982092067,0.22173607,0.13001206,0.119611791,0.138228387,0.113373578,0.496408157,0.11469466,0.176252646,,1.250703182,Control,Memantine,C/S,c-CS-m
4465_7,0.281056141,0.376559265,0.292026726,1.890550481,2.349954152,0.210380289,0.163627505,2.330938223,0.19747705,1.981279771,0.479130149,0.28674868,0.230980847,0.259027658,0.630015582,0.617427714,1.119752249,1.768913219,0.347322206,0.658507162,0.285398314,0.283188283,0.148411167,0.872422352,1.840664723,0.827416573,0.193886373,0.176193403,0.465466933,0.138745171,0.470563266,1.698871657,0.860470348,0.607219994,0.663516888,0.58654493,0.67014012,0.327410786,0.700976391,0.318590351,0.313662493,0.41492338,0.54670797,0.129330673,0.693603313,0.161071517,0.643948172,0.257171582,0.202457646,0.915962272,0.074533912,0.178146861,0.127725031,0.151460835,0.122046575,0.148032197,0.155541167,0.101470551,0.232291168,0.115915603,0.522094071,0.234277774,1.401540011,1.917498966,0.139342369,1.236790829,0.825490487,0.293798553,0.137272589,0.132378912,0.139810023,0.151188294,0.386546865,0.121818197,0.280956233,0.268324737,0.701771585,Control,Memantine,S/C,c-SC-m
4465_8,0.397736527,0.328601284,0.227388962,2.228893948,4.409322615,0.281012237,0.170432516,3.51100112,0.223495219,1.362819696,0.309579202,0.35317012,0.293511344,0.308484348,0.990799583,0.933949035,1.831154514,1.240282165,0.469970782,0.738843395,0.317604688,0.377807123,0.187502553,1.540289073,3.343687126,1.90786591,0.24764481,0.360907268,0.821539107,0.165275042,0.441861859,2.434917699,0.961628851,0.497646385,0.435013585,0.821215602,0.661151172,0.3578032,0.678783767,0.413941298,0.399988133,0.403516293,0.348914663,0.189551646,1.1827273,0.12849988,1.367822314,0.299642123,0.310782433,1.381297406,0.176567404,0.129048572,0.184663651,0.139032115,0.167361551,0.219092848,0.171438423,0.114684878,0.191815455,0.119635907,0.576218016,0.279912723,1.669622735,2.373828996,0.152067629,1.375123128,0.899199508,0.216915508,0.146644783,0.149918395,0.131902325,0.129735142,0.442402364,0.130440117,0.114964371,0.187065566,1.115533142,Ts65Dn,Saline,S/C,t-SC-m
4465_9,0.705377279,0.879629471,0.445206749,2.297305161,3.331736431,0.259086282,0.173352228,4.284244229,0.252992405,1.467404388,0.838260686,0.360877632,0.441561591,0.275648939,1.056394666,1.022401643,2.175547098,1.354083965,0.594812578,0.779429872,0.524508142,0.395078991,0.177897175,1.493926163,2.734162096,1.515171461,0.231186623,0.305359367,0.828906986,0.176815384,0.414751353,2.630265196,0.494101768,0.487895436,0.427807469,0.804352061,0.595538194,0.450875255,0.576515649,0.357652263,0.296675577,0.43946238,0.254232496,0.206651096,1.386676278,0.125246906,1.844404611,0.343574979,0.530619589,2.291487859,0.101952927,0.191437946,0.198327703,0.127085313,0.181241438,0.196932253,0.210669283,0.115355961,0.205811473,0.12486047,0.594098716,0.285716614,1.872369458,2.214723104,0.150077607,1.136683965,0.780823158,0.215447278,0.1353817,0.119691831,0.128773797,0.122182694,0.478518393,0.112395915,,0.152074942,1.558283143,Control,Memantine,C/S,c-CS-m
4465_10,,1.913652131,0.314822461,2.869397606,4.092675056,0.226241848,0.177801356,5.89672275,0.202858189,1.561842994,0.783476627,0.341522038,0.396343258,0.298092373,0.887063865,0.967809691,1.852620198,1.589603353,0.403216534,0.799020936,0.628222522,0.338893238,0.173977858,1.454953175,3.399552535,1.71321261,0.265576463,0.293738112,0.807021365,0.183055245,0.426353618,2.416407758,0.327165704,0.400654424,0.451827072,0.744951853,0.612018708,0.489846878,0.573301506,0.48436277,0.341467553,0.479336194,0.393353828,0.209189481,1.292668974,0.166585671,1.761318193,0.329561091,0.485039749,1.409511185,0.086116248,0.151637984,0.185630423,0.100417659,0.174747147,0.174453006,0.203154713,0.130095233,0.239896434,0.155513459,0.68484761,0.315307547,1.402838241,2.412764052,0.167971403,1.240433856,0.867560145,0.174797136,0.133106402,0.093938947,0.14040172,0.110999643,0.496953348,,0.139575193,,1.999481459,Ts65Dn,Memantine,C/S,t-SC-m
