MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
2320_1,0.336446767,0.425216031,0.292697522,2.772016373,4.108308244,0.218983881,0.168784989,1.487357775,0.18176733,1.021106038,0.67103996,0.20780714,0.29656785,0.268185077,0.72516728,0.506212543,1.650262558,1.158054041,0.309281188,0.626214101,0.356040497,0.372477065,0.181294829,0.632922692,2.332518065,0.911231149,0.241266605,0.249590703,0.615012331,0.160626021,0.363669561,1.820186166,0.388073802,0.558217747,0.389140354,0.694671571,0.546788248,0.378026849,0.573608983,0.239771151,0.261570527,0.371160211,0.541621923,0.170603464,0.788194522,0.158428564,2.160241535,0.269726083,0.612528002,1.093694673,0.2306442,0.145823615,0.196920344,0.112212225,0.147300646,0.137640344,0.172127826,0.125890696,0.237746305,0.145940794,0.501443451,0.329635388,1.462926804,2.308131515,0.158686283,1.055788168,0.823158999,0.216896548,,0.110852405,0.119183981,0.114820992,0.408521738,0.108983766,,,1.695542484,Control,Saline,C/S,c-CS-s
2320_2,0.2694887,0.466138871,0.335785572,2.027483399,3.587671108,0.210465257,0.204531383,3.910069799,0.236055532,1.252352136,0.45881505,0.355116406,0.312855878,0.314978059,0.817836716,0.79775211,1.552457992,1.202773062,0.423825077,0.704898715,0.317912003,0.455056821,0.180692695,0.632922692,2.499153303,1.078533212,0.249572578,0.317928328,0.645577504,0.217240433,0.322963258,1.987897898,0.681385229,0.428402258,0.663289274,0.844184674,0.639611746,0.370405212,0.529558699,0.389170104,0.392090221,0.405170025,0.326152999,0.168443043,0.82430778,0.172434801,1.458080682,0.287399115,0.235900947,1.480394052,0.067968762,0.181822374,0.196365683,0.131683827,0.14166744,0.118818549,0.169113313,0.132278609,0.146085188,0.08649174,0.460903513,0.318375988,1.66397212,2.003606463,0.11386395,1.317881008,1.002441665,0.315930949,0.166558219,0.219995737,0.131466827,0.176121416,0.513485146,0.135317895,0.114964371,0.273005902,1.369494148,Control,Saline,S/C,c-SC-s
2320_3,0.525956488,0.70884504,0.330998413,3.075102881,6.215859031,0.238308454,0.20726935,3.773179729,0.264227323,3.803422205,0.542073059,0.356378394,0.316672543,0.3300244,0.73251162,0.758911311,2.175547098,2.382352689,0.475264811,0.843704533,0.480536657,0.405933121,0.25625879,2.383446537,3.84189382,1.100704594,0.204008846,0.311168802,0.828084904,0.209981258,0.400773359,3.194291151,0.329312512,0.418013983,0.487547081,0.722374448,0.677476193,0.415172613,0.609029099,0.41924007,0.397304915,0.480225179,0.169262838,0.207890647,0.895424505,0.159088988,0.643948172,0.337526061,0.718055448,1.288899093,0.095708772,0.191708214,0.210720224,0.118422916,0.183663589,0.124849926,0.164559111,0.140251195,0.188634917,0.08649174,0.41325953,0.305925931,1.647381458,2.057784551,0.160142646,1.397300284,0.926424166,0.219966878,0.146035264,0.142760775,0.115418989,0.109538639,0.580984195,0.168296626,0.177974578,0.117812408,1.336648825,Control,Saline,C/S,c-CS-s
2320_4,,0.7371385,0.304749665,2.903799366,3.136518552,0.253018218,0.221034483,2.601162953,0.196868992,2.823907485,0.289304625,0.372116084,0.333985732,0.249121005,0.808332893,0.897041322,1.579871958,1.400958752,0.460035611,0.640340647,0.280436246,0.317003537,0.188199532,0.983211731,2.741681608,1.181895965,0.236279428,0.292676844,0.789433689,0.186550492,0.422832711,2.184883413,0.625915512,0.51107436,0.381548587,0.785505897,0.552647954,0.36455615,0.556698291,0.381975211,0.359293364,0.408868872,0.479569622,0.197765568,0.741598116,0.164599182,1.859686612,0.295295695,0.244430093,1.105067651,0.058868045,0.178491179,0.18711616,0.121828066,0.161247431,0.188527572,0.34200624,0.117059314,0.223063425,0.140675444,0.392102285,0.29900287,1.716907445,2.332863298,0.146821343,1.367991193,0.835790272,0.247793125,0.135943689,,0.121564066,0.12425579,0.491744588,0.090530697,0.182426002,0.234139914,1.109268901,Control,Saline,S/C,c-SC-s
2320_5,0.386069296,0.515770668,0.32537607,2.481589615,4.633944458,0.251851223,0.184857986,5.771567283,0.216695609,1.376739079,0.596043034,0.349116665,0.344053067,0.382086987,0.899742321,0.531599109,1.886814368,1.060788194,0.491024855,0.749070035,0.365854685,0.443060033,0.157246362,1.668569444,2.157757711,1.038040564,0.268812637,0.367081448,0.73750933,0.16187493,0.362837362,2.503207368,0.740549208,0.448387537,0.462527519,0.759911051,0.528966183,0.315025242,0.565926998,0.267054172,0.350420548,0.390827443,0.393413077,0.165197624,0.824226778,0.154749932,1.660065501,0.294633415,0.317259191,1.403161275,0.103066973,0.140279261,0.185357913,0.126865344,0.1535783,0.172244013,0.129510862,0.106439052,0.211569692,0.114495904,0.519869601,0.272259775,1.270010687,2.186540732,0.158932029,1.32100892,0.838031406,0.190497153,0.149285823,0.1259502,0.126355324,0.118169668,0.455081191,0.150760769,0.170080303,0.153814978,1.065587408,Control,Saline,S/C,c-SC-s
2320_6,0.253041217,0.35082814,0.339257662,2.676375308,4.088803351,0.241650703,0.185053984,5.445939411,0.17938763,1.062985621,0.357143151,0.368107275,0.212873563,0.201566791,0.840960803,0.930096123,1.513675914,1.244442881,0.451474638,0.603698903,0.277947737,0.370363858,0.18042007,1.131976846,2.002034719,1.046125958,0.160149973,0.272529299,0.727489733,0.133612192,0.405646345,2.200354667,0.465921977,0.479178767,0.479170666,0.857683273,0.522525019,0.361813384,0.561342931,0.340999172,0.281882444,0.401460074,0.338138401,0.178139264,1.099919401,0.158366493,1.510013317,0.269784383,0.458763389,1.197632184,0.148413387,0.190732454,0.176003587,0.131188673,0.173902174,0.205930574,0.14339768,0.127229075,0.296382237,0.160605691,0.544223962,0.281300451,1.971288616,2.322136472,0.157991928,1.295630755,0.852091194,0.202109677,0.156632024,0.113949571,0.148164663,0.125668658,0.471524844,0.178047841,0.160826349,0.197700077,0.902577689,Ts65Dn,Memantine,S/C,t-SC-m
2320_7,0.282894329,0.566617005,0.223367649,1.702405331,6.215859031,0.212128037,0.175074272,2.614395413,0.257846457,1.190590326,0.289552752,0.3880098,0.279594607,0.280204439,0.725801084,0.786192778,1.305691466,1.18697069,0.305326397,0.575564698,0.226393392,0.354738798,0.163901464,0.92307822,2.719167348,0.991585769,0.206916595,0.262470677,0.618693278,0.175229535,0.357882736,1.69470424,0.571805371,0.388372728,0.371221623,0.685388906,0.593297702,0.304204612,0.49405611,0.319635669,0.253480879,0.380155363,0.549162099,0.160761757,0.771611406,0.120594198,2.611519044,0.252569933,0.372392001,1.299922764,0.058405282,0.172006963,0.177993934,0.126256652,0.156423923,0.163543164,0.175128221,0.125542203,0.19797277,0.103551503,0.553463272,0.311691845,1.316705218,2.08045114,0.157934973,1.154242539,0.846894416,0.217411179,0.181527363,,0.106456257,0.106354273,0.396091416,0.278625798,0.216041353,0.241323582,1.276940372,Ts65Dn,Saline,S/C,t-SC-s
2320_8,0.431359382,0.590869753,0.364895206,2.037850641,3.727023249,0.246157725,0.188893816,5.028874761,0.175687721,1.640976178,0.448816194,0.314067232,0.298210222,0.266020163,0.785191469,0.921847928,1.485827012,1.194501972,0.364634125,0.650111115,0.248520191,0.34667119,0.157194196,1.084562538,2.484949172,0.986938853,0.243948132,0.245251336,0.650407483,0.171658857,0.367035763,2.156770135,0.619646837,0.400607905,0.592960478,0.740586807,0.523182282,0.341172362,0.566321943,0.273372172,0.285582512,0.381381372,0.369452004,0.164173011,1.077870223,0.139839161,1.885604023,0.253407068,0.255552562,1.455312765,0.14363415,0.147733695,0.172680129,0.128445265,0.161650432,0.199724249,0.172095788,0.105651891,0.276474431,0.136144165,0.669266407,0.26876833,1.751682243,2.280001526,0.16569166,1.204876719,0.871941173,0.268808384,0.13667348,0.187961837,0.128391945,0.132380934,0.528527948,0.144227667,0.114964371,0.13410111,0.940193672,Control,Memantine,S/C,c-SC-m
2320_9,0.201550329,0.50891968,0.326215814,2.499526649,2.985236493,0.238165054,0.191428709,5.827792498,0.219577508,1.340485412,0.327554244,0.301154767,0.310390341,0.281492936,0.779407279,0.548671742,1.759498681,1.849079109,0.43570616,0.684319009,0.209520901,0.365898211,0.199010034,1.19510733,2.903396763,1.171256166,0.273952653,0.270239286,0.765790706,0.183067076,0.323561997,2.426338025,0.943797523,0.413887239,0.469735583,0.705493792,0.581880253,0.330763744,0.587816386,0.314727111,0.294485514,0.3524231,0.485187058,0.164000268,0.942090001,0.164666129,2.191546821,0.30883483,0.511986438,0.946741744,0.373610419,0.176637439,0.164274719,0.102667503,0.161825337,0.206058471,0.143084298,0.128543214,0.192681224,0.108032548,0.587027306,0.288264508,1.538236926,2.529014529,0.148951517,1.335260156,0.94667229,0.245046705,0.148053309,0.119511284,0.108067153,0.115493901,0.414976787,0.293052201,0.263613062,0.23010022,1.355340592,Control,Saline,S/C,t-SC-s
2320_10,0.462719975,0.504588324,0.243451853,2.881835838,2.13109571,0.260944214,0.186531469,4.79518112,0.151980829,1.489797389,0.335657025,0.3173697,0.288238213,0.271038009,0.779907509,0.660564049,0.929507025,1.10612208,0.37592329,0.569002714,0.263970462,0.314333343,0.15706705,0.994973055,1.8334341,0.852545087,0.192591571,0.23827872,0.560008776,0.131644904,0.266944734,1.81343408,0.50640184,0.360199236,0.601854496,0.804991959,0.640909878,0.340196839,0.582931086,0.343600308,0.302312972,0.372636818,0.539744116,0.151516944,0.893852111,0.150847136,1.392057402,0.251471572,0.323460584,1.016975417,0.091295652,0.122419929,0.158838395,0.134867791,0.159863929,0.159101873,0.290377939,0.114110645,0.199373816,0.118184431,0.526568032,0.284701855,1.469467631,2.790613718,0.184282801,1.48766115,0.785006656,0.239397827,,0.1449004,0.134397889,0.133254717,0.380960692,,,0.360069542,0.873700054,Ts65Dn,Memantine,S/C,t-SC-m
