MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
3611_1,0.462410364,0.584169092,0.368886735,1.875799737,2.924709822,0.246945921,0.185543968,3.161231124,0.14759111,0.806047967,0.220245251,0.269699887,0.289249286,0.284417913,0.672196118,0.649203776,1.027781218,0.831724378,0.42704433,0.61159785,0.211578515,0.372889243,0.182951771,0.884146582,1.724985268,0.780485995,0.228064696,0.255591517,0.599583977,0.172910541,0.290587891,1.584726381,0.597031431,0.344065439,0.341116897,0.602854196,0.442613102,0.246283449,0.549872211,0.241939356,0.291453476,0.301587302,0.240143982,0.196778002,0.890523156,0.154487305,1.352385804,0.284745659,0.453364611,0.937010225,0.473223648,0.170103995,0.182337091,0.11987804,0.157235855,0.173064756,0.136086279,0.122101587,0.185402571,0.095190068,0.615566199,0.297283667,1.410670102,2.393872741,0.182701272,1.121009918,0.797886551,0.227933328,0.148046862,0.132455218,0.11887282,0.103390101,0.402136776,0.140885269,0.166524211,0.200287946,1.064003903,Ts65Dn,Memantine,S/C,t-CS-m
3611_2,0.306700264,0.437212325,0.306162099,2.201551894,2.572938749,0.238887214,0.190545279,2.23915659,0.156320482,1.201633511,0.374273322,0.345433223,0.297881702,0.295213783,0.764795879,0.599004636,1.266574098,1.198661,0.499002976,0.630235434,0.271662868,0.36326463,0.171784237,0.835221717,1.284090909,0.975887028,0.25287017,0.252621449,0.627741975,0.161760786,0.470107395,1.584274223,0.766870947,0.477033847,0.497841428,0.89763706,0.514436143,0.328607708,0.582270184,0.312928776,0.395208272,0.471101848,0.306689304,0.145698705,0.932866053,0.132394156,1.431634202,0.25914436,0.200088333,1.033748715,0.162210612,0.174345152,0.174364655,0.131281051,0.161755434,0.183132325,0.140330134,0.123644834,0.264070187,0.151875353,0.507020174,0.285200705,1.750849301,2.236028062,0.188359388,1.291056098,0.745834664,0.209038025,0.128591028,0.140291467,0.139284021,0.169729963,0.444827318,0.188069626,0.279559475,0.267676338,0.983505087,Control,Memantine,S/C,c-SC-m
3611_3,0.179262795,0.735966664,0.341194568,2.355834955,4.313143305,0.260836158,0.164248181,2.566447813,0.239376638,1.455619063,0.763915668,0.329240592,0.441561591,0.306977134,0.893930321,0.908511602,1.776449385,2.519205137,0.509294305,0.369272253,0.414304005,0.342616097,0.178585626,1.171253098,3.950335009,1.324833122,0.27154165,0.210475888,0.771711604,0.175504544,0.317787968,2.368072932,0.378120452,0.352747366,0.381312179,0.690084617,0.635711021,0.411536894,0.505119997,0.497287748,0.313914436,0.478640396,0.448066988,0.17603507,0.612930514,0.166766769,2.023961735,0.321972376,0.480420913,1.28065302,0.11843134,0.168182517,0.181920613,0.111071732,0.143864034,0.162991297,0.264360846,0.134428901,0.197562258,0.1288818,0.481440455,0.313994553,1.365002417,2.112846205,0.150644418,1.181390142,0.851571798,0.235614348,0.160457004,0.127945417,0.110031041,0.11490759,0.478218681,0.177416729,0.179892312,0.130785045,1.607360629,Ts65Dn,Saline,C/S,c-CS-s
3611_4,0.179262795,0.305052169,0.445206749,2.2636498,5.420736358,0.299898115,0.198756982,1.487357775,0.217050533,1.640129302,0.220245251,0.32929303,0.340722403,0.376212436,1.056523846,0.630006509,1.05819383,2.540893805,0.281259943,0.946059667,0.468537117,0.323833332,0.218145152,1.949894183,4.313186813,1.408232767,0.26355237,0.301514505,0.832528531,0.179232135,0.54160277,2.519312472,0.345764433,0.491528467,0.315256638,0.7100963,0.564055252,0.484954498,0.631743304,0.529220779,0.342794231,0.439312058,0.321887383,0.129330673,0.891280207,0.177259808,1.408973308,0.296926543,0.56830641,1.237414273,0.058405282,0.122419929,0.161181725,0.116602577,0.142966205,0.118818549,0.166476258,0.117301805,0.194000576,0.115045672,0.477663138,0.270853213,1.8213363,2.431313322,0.148190137,1.059690387,0.812821757,0.2014626,0.106496206,0.09997077,0.114602127,0.107133717,0.470072294,0.141386587,0.126644138,0.117812408,1.545438771,Control,Memantine,C/S,c-CS-s
3611_5,0.587198399,0.926021921,0.377845026,2.884498607,4.056838121,0.227945409,0.180059945,2.073982077,0.21287056,1.715373802,0.543455644,0.374154756,0.404884377,0.242988569,0.958691209,0.428643706,1.056693982,2.500342838,0.530607015,0.582534981,0.68205758,0.35149669,0.187175371,1.680204579,4.313186813,1.34110559,0.278623006,0.334554495,0.831207839,0.175494971,0.551572019,2.137323234,0.324149732,0.427428688,0.346947983,0.734165822,0.469727047,0.320875009,0.516271158,0.433413238,0.267327159,0.411602778,0.602937723,0.259864717,1.386676278,0.161395697,2.839108626,0.311375701,0.723262626,1.417442835,0.17442146,0.173446505,0.191705824,0.128064365,0.150910674,0.23835454,0.163236468,0.12162355,0.237775579,0.144136425,0.414642069,0.336268569,1.646636535,2.220516164,0.139220522,1.1979605,0.991159505,0.221764931,0.166125611,0.10879981,0.125064645,0.103139102,0.437762782,0.191655103,0.150617135,0.14212846,1.832325356,Control,Memantine,C/S,c-CS-s
3611_6,0.390595067,0.68649456,0.325631342,2.514048145,4.061785386,0.213259328,0.181962867,2.348862383,0.202340798,1.365209446,0.339907241,0.316767471,0.383806972,0.270311737,1.099996891,0.856428862,1.826478078,1.88174631,0.440564274,0.893111181,0.305295106,0.430224633,0.198839375,1.196203407,2.619503228,1.267706601,0.248816156,0.308141308,0.830721967,0.17134508,0.46456096,2.007500106,1.43836326,0.51930317,0.498519308,0.902525727,0.652490702,0.54543497,0.665273167,0.337682783,0.397047413,0.588091426,0.421779195,0.213270402,1.025550012,0.167570684,1.737853189,0.323515264,0.389781597,1.306551806,0.165397364,0.173588489,0.19314684,0.124571811,0.165986298,0.198917738,0.270887565,0.125145121,0.253419266,0.157733522,0.543995479,0.253789907,1.613935431,2.204664031,0.168914916,1.396621055,0.801302888,0.228069164,,0.13754081,0.139921861,0.122360981,0.534416585,0.121109461,0.236578703,,1.03847837,Control,Saline,S/C,c-SC-s
3611_7,0.460937818,0.803254669,0.391406392,2.381278684,3.697901871,0.228942192,0.166080555,2.040335124,0.206290258,3.72890363,0.775455751,0.246896314,0.38026057,0.268010305,0.721244303,0.592894577,1.302636328,1.615940264,0.429047786,0.718178828,0.690547855,0.325223118,0.168034484,1.49401674,2.551099983,1.666170958,0.225822568,0.284250407,0.689245589,0.165568961,0.404001878,2.096438769,0.385516857,0.32890025,0.30309801,0.637434263,0.542492248,0.347951565,0.484797045,0.248946012,0.225838264,0.306121332,0.44475669,0.209379115,0.886033078,0.181301322,2.947506437,0.301996204,0.643436347,0.973811432,0.385721097,0.175588515,0.182757514,0.112667943,0.155697308,0.180045184,0.239484045,0.124259735,0.200847428,0.137810957,0.481660979,0.268404897,1.392339149,2.358322357,0.128746747,1.193957463,0.89827838,0.190233122,0.118472465,,0.117677313,,0.337446501,0.183182449,0.235416996,0.231278488,1.830495811,Ts65Dn,Saline,C/S,t-CS-s
3611_8,0.370444017,0.577198618,0.286041496,2.85252697,4.293211137,0.286824169,0.2006981,6.65129683,0.247240061,1.565019503,0.329059834,0.35645443,0.390788991,0.2877066,0.990087047,0.670600589,1.836638004,1.46276089,0.469039456,0.8519761,0.307635051,0.39860959,0.142773875,1.461334587,2.001070551,1.270954131,0.310446297,0.367081448,0.689527576,0.179241853,0.4228809,2.096216048,0.255852303,0.558905008,0.550194407,0.839557008,0.869148336,0.421016734,0.761221897,0.49777562,0.354365089,0.48395238,0.249919839,0.179182155,0.918759395,0.12300238,1.733637659,0.323899178,0.331911418,1.391975492,0.072040525,0.133081866,0.15372144,0.132128069,0.161525593,0.119549053,0.147504929,0.121280269,0.19186515,0.116349271,0.54376833,0.260067477,1.627986708,2.300309895,0.178050412,1.257707157,0.651252372,0.207333203,0.122725058,0.157292337,0.132126429,0.106205451,0.470787004,0.155719242,0.214293979,0.117812408,1.079790842,Ts65Dn,Memantine,C/S,c-CS-m
3611_9,0.284986492,0.478645855,0.301245917,2.096547597,3.413945997,0.339803094,0.227980755,3.42738344,0.249844345,1.835366066,0.221641142,0.327932938,0.355670634,0.311718944,0.719918386,0.627800078,1.448658474,2.008602176,0.585460747,0.813079689,0.300617843,0.348705179,0.244455995,1.18586818,2.242775446,1.108395611,0.291138258,0.314988415,0.736035769,0.197071057,0.317636349,2.053055339,0.801059179,0.425565283,0.4872301,0.768938264,0.676567912,0.464110935,0.603012224,0.491254779,0.461800105,0.433970256,0.679111583,0.157449203,0.736371508,0.164655925,2.006272064,0.279046719,0.382116138,0.878656359,0.390547367,0.176230961,0.166468739,0.111991315,0.161855501,0.172510932,0.180388116,0.123493578,0.18839222,0.136245919,0.493016243,0.329367301,1.511039956,2.481956561,0.176247339,1.199272233,0.716799082,0.225978438,0.179245636,,0.115534503,0.140711829,0.462425266,0.21433786,0.222989785,0.238224645,1.104408708,Control,Saline,S/C,c-SC-s
3611_10,0.320632861,0.525928191,0.319313706,2.144501611,3.480087379,0.285595576,0.186681516,5.98399872,0.219154109,1.243129383,0.329210735,0.270550893,0.288953792,0.294029937,0.756814998,0.605239797,1.438334649,1.350466048,0.467310667,0.625931034,0.298995821,0.331933447,0.179904657,1.087693739,2.837807191,1.146275474,0.203372565,0.277567298,0.701365048,0.149567394,0.459431817,2.930406517,0.604623855,0.485025893,0.309257816,0.691842734,0.545729131,0.36059114,0.522983346,0.347896553,0.249502179,0.440665738,0.379557131,0.236073234,1.180020581,0.158080229,2.337481781,0.313014307,0.520383274,0.889260281,0.068182921,0.184915596,0.186417717,0.133300697,0.151454908,0.118818549,0.331158548,0.118370954,0.203820649,0.129885049,0.567688368,0.357208152,1.250542329,2.355237984,0.151732254,1.195292346,0.891876933,0.235680613,0.156341659,0.121194717,0.113798394,0.159668112,0.395834031,0.181552857,0.178658945,0.198139193,1.242830101,Ts65Dn,Saline,S/C,t-SC-s
