MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,H3MeK4_N,CaNA_N,Genotype,Treatment,Behavior,class
225_1,0.684444145,0.898079919,0.314747376,2.156503621,3.667679378,0.218895648,0.166395317,6.535265603,0.223005494,1.638437244,0.703805907,0.319869994,0.420152456,0.288456723,0.86632279,0.588252858,1.434356642,1.455971582,0.584503051,0.516670651,0.597600708,0.358097524,0.187664618,1.086178237,2.596539186,1.376089042,0.225422018,0.254872352,0.762830898,0.175927724,0.400698524,1.278094252,0.429440618,0.467781279,0.301665988,0.601903406,0.571626343,0.302005053,0.585522252,0.373718392,0.335342655,0.437894835,0.581836313,0.174022038,0.752492092,0.162839871,1.914173626,0.313555537,0.553947015,0.978300986,0.058405282,0.166850981,0.147866464,0.107639954,0.143746863,0.17040952,0.209590848,0.120065749,0.146085188,0.119982337,0.431535763,0.278665901,1.359359318,2.067972818,0.11386395,1.231009093,0.838839591,0.194500573,0.178992522,0.169839353,0.102434394,0.136566321,0.478100846,0.143579412,0.223993432,0.231004398,1.457775716,Ts65Dn,Memantine,C/S,t-CS-m
225_2,0.279657779,0.328731559,0.4325788,1.97461694,2.732227533,0.2769644,0.191848727,5.944306598,0.172511516,1.283954273,0.559469203,0.231310759,0.227100967,0.294036657,0.76447168,0.751550965,1.338557197,1.983823791,0.442814597,0.537330005,0.263909247,0.383664699,0.136978657,0.847882288,1.585048713,0.834427814,0.292700752,0.266326318,0.593148097,0.139975113,0.427660621,1.880739928,0.509109289,0.536128474,0.365393017,0.71420514,0.578526181,0.246283449,0.337337254,0.329493943,0.258833479,0.322264851,0.345651161,0.235939081,0.632354066,0.16984966,1.93204345,0.265090304,0.310467194,0.81846718,0.310505608,0.128271144,0.172160323,0.118384915,0.166025856,0.159656858,0.17071954,0.127195161,0.273039761,0.10040367,0.619597796,0.298387772,1.906466144,2.582343911,0.150912875,1.297641328,0.778371557,0.203342051,0.172849193,0.14102141,0.111374919,0.175438433,0.378997367,0.205719277,0.259543924,0.297692167,1.282223506,Control,Saline,S/C,c-SC-m
225_3,0.402860378,0.508743541,0.359429976,2.962386306,3.482674015,0.173244515,0.202779614,3.08539008,0.265241245,1.631034676,0.538782269,0.306382731,0.41417723,0.354194616,0.88098137,0.696789068,1.549564336,2.091457839,0.604425659,0.364552239,0.407462684,0.459192887,0.219927314,0.980306584,2.871336726,1.281097185,0.200729823,0.301423044,0.806813422,0.211100461,0.436777799,1.673469535,0.248008313,0.477745175,0.376146718,0.783499726,0.625910486,0.330550418,0.52559923,0.353063115,0.396759812,0.469257309,0.507257583,0.161274332,0.862447753,0.218172768,2.035689956,0.326536187,0.624282652,0.861849384,0.292326878,0.196804641,0.158951226,0.126489385,0.166543605,0.177448535,0.123964088,0.128645932,0.180476002,0.097791774,0.476875618,0.260423901,1.420822798,2.10808431,0.143419136,1.442573606,0.933636651,0.232108819,0.196050566,0.150996681,0.122572235,0.111828177,0.479658099,0.1109352,0.155115555,,1.396383515,Control,Saline,C/S,c-CS-s
225_4,0.443335532,0.339478123,0.297667108,1.886684015,2.873608627,0.23175354,0.189403549,2.638498345,0.162159937,1.592568611,0.312235213,0.284324682,0.295439975,0.228806575,1.055993655,0.927524853,2.175547098,1.950823435,0.394959365,0.958032328,0.256469276,0.250328803,0.129530492,0.761467738,2.875762199,0.722016404,0.186177713,0.176193403,0.544053807,0.180194031,0.367041371,1.996040843,0.248008313,0.579319193,0.33397384,0.762022024,0.645804316,0.436313579,0.571602356,0.344967764,0.306427261,0.401393484,0.561318897,0.182914482,0.650861528,0.145909283,1.392623228,0.271112593,0.259385132,0.621707901,0.115898255,0.146080976,0.1760762,0.133608604,0.145979772,0.174705779,0.195281574,0.16042677,0.241587036,0.141290653,0.521364567,0.284231761,1.500625475,2.000799762,0.172305858,1.056910713,0.754873411,0.224584334,0.166862498,0.104923169,0.1236086,0.160954822,0.423332819,0.192785328,0.28625045,0.27157962,0.987624078,Control,Memantine,S/C,c-SC-m
225_5,0.301280449,0.417355809,0.366189746,2.059950609,3.004135898,0.241430432,0.222234916,3.144572771,0.213598055,1.105466174,0.584412504,0.377603033,0.327720841,0.313032754,0.788243169,1.06031236,1.85006558,1.291970519,0.555786547,0.389675642,0.555660352,0.374089062,0.214793116,1.968618539,1.43461344,0.778836202,0.257430138,0.203928093,0.66218158,0.140644184,0.325899436,2.861798153,0.248008313,0.551439648,0.675870003,0.97473359,0.869148336,0.45330297,0.615648668,0.32491146,0.324176067,0.45952058,0.521678867,0.144074206,0.823598536,0.164856853,1.701936259,0.316633487,0.337986864,0.881547451,0.26978786,0.263465879,0.164327062,0.13551184,0.169038449,0.18573883,0.201560274,0.139186669,0.304655924,0.152879545,0.479564303,0.352765214,1.724928277,2.49472419,0.171992812,1.417203388,0.686375362,0.201948607,,,0.130343942,0.148529854,0.510280226,,,0.305250064,0.752459713,Control,Memantine,S/C,c-SC-m
225_6,0.590680585,1.827439777,0.387512942,2.921316728,4.231329942,0.257711626,0.181392755,3.911310122,0.208596379,1.425960904,0.747595293,0.332689671,0.301932232,0.279204833,0.844692137,0.606376611,1.674921617,1.460217057,0.326989738,0.62623012,0.490022707,0.365599281,0.189721163,1.348103619,3.43760857,1.451384051,0.241625399,0.276725443,0.653447206,0.173001262,0.481052575,2.284777168,0.313301833,0.455431799,0.459608981,0.757161628,0.536281509,0.33934071,0.536900104,0.394109167,0.309062336,0.496493778,0.443965991,0.20941381,0.969717911,0.167439448,0.643948172,0.302858653,0.457464429,1.534819141,0.134162658,0.149225285,0.173302103,0.119825929,0.141555009,0.157841215,0.150830448,0.12507726,0.259674187,0.131521322,0.498695089,0.257538139,1.266688201,2.28783295,0.132260569,1.102497196,0.894433865,0.188133429,0.157175387,,0.119551416,0.120114142,0.430990005,0.116886213,0.143529694,0.159242188,1.515382307,Control,Memantine,C/S,c-CS-m
225_7,0.206142919,0.548691261,0.364673685,1.971743283,2.173938885,0.17845902,0.194961953,2.407900261,0.160061168,0.828667135,0.236827829,0.245792932,0.286998803,0.251663801,0.792167017,0.899812102,1.391127827,1.102781566,0.474888577,0.580808646,0.283216721,0.367380165,0.242960892,0.632922692,1.781883473,0.898015686,0.290592762,0.243398754,0.519489944,0.148713809,0.374418348,1.606031985,0.646120669,0.42569812,0.406939448,0.513742771,0.494781426,0.308694983,0.555630099,0.239771151,0.336845637,0.386766631,0.46372112,0.181880234,0.745234766,0.160318413,2.196219436,0.22662713,0.394039615,0.930393079,0.280878362,0.175873456,0.197238856,0.124996887,0.163172681,0.184263651,0.266327632,0.128047676,0.169625947,0.104876363,0.718014072,0.310135324,1.701285414,2.397464749,0.174809796,1.306268102,0.822101982,0.231825557,0.148947679,0.151936117,0.134946477,0.125263384,0.429102791,0.277529196,0.297022069,0.234201565,1.19925946,Ts65Dn,Saline,S/C,t-SC-s
225_8,0.600970295,0.666784957,0.341836295,2.285377005,4.165844412,0.292593382,0.176733554,2.466450847,0.223943669,1.591759006,0.716054358,0.326491591,0.367278674,0.305094454,0.876418208,0.744891869,1.828601335,1.580878252,0.548956379,0.701280674,0.474193118,0.361350487,0.183819061,1.726153211,3.751689909,1.408487243,0.252794156,0.367081448,0.874139796,0.179865287,0.426469321,2.277481147,0.31229995,0.421589251,0.358996178,0.694778937,0.574645073,0.342100726,0.536742558,0.307563986,0.366466449,0.439078797,0.507057045,0.222623378,1.112058232,0.145650724,2.551973569,0.371645163,0.672791489,1.677146528,0.46446247,0.155655284,0.179974017,0.115555626,0.160392545,0.187053184,0.335795078,0.117929479,0.205454248,0.100789806,0.518499929,0.314553501,1.694266772,2.548828382,0.141981065,1.219945778,0.968504908,0.197493132,0.142785991,0.093938947,0.110585321,0.108086003,0.304136053,0.189233751,0.137136951,,1.439875119,Ts65Dn,Saline,C/S,t-SC-s
225_9,0.493054635,0.603711857,0.304496699,2.079689842,4.551521346,0.221756627,0.167370569,2.760591527,0.293351184,1.269839829,0.382006437,0.309102415,0.268224663,0.355278297,0.906940214,0.897509828,1.093650315,1.289001406,0.373512835,0.844434869,0.330735919,0.442174565,0.166229795,1.328046159,3.386771625,1.121380663,0.257126616,0.305021271,0.876329727,0.152527528,0.482550999,2.169681182,0.647209707,0.425026321,0.420472639,0.804461724,0.680642988,0.460290979,0.639329241,0.448471559,0.305052944,0.580926305,0.497002779,0.262144769,1.246525166,0.159336757,2.542496785,0.330375424,0.487871577,1.064565006,0.496603463,0.144631152,0.203946914,0.147659667,0.168902323,0.184939232,0.360691171,0.110352094,0.210965749,0.15173611,0.566158483,0.229710049,1.721048467,2.142849767,0.177741123,1.41295109,0.871886146,0.263250683,0.159035789,0.116774733,0.127239697,0.127036469,0.506038896,0.186746854,0.167277851,0.166029074,1.218581885,Ts65Dn,Saline,S/C,t-SC-s
225_10,0.382464631,0.414032765,0.294293933,2.025974813,4.380471188,0.225714991,0.174537703,3.386890746,0.209491721,1.506038423,0.326078281,0.391044073,0.3416923,0.298206844,0.944848366,0.918536049,1.737257009,1.231945079,0.43201666,0.723208184,0.227908829,0.350317597,0.166623599,1.173322468,2.34811177,1.103972139,0.254454717,0.248934927,0.656985113,0.130196697,0.445256366,2.745137049,1.43836326,0.468135394,0.416960899,0.969029484,0.596425628,0.481941827,0.536426593,0.30807875,0.292778722,0.46997604,0.369506497,0.129330673,1.284524855,0.137084822,1.514769838,0.310321663,0.290873463,0.985992422,0.058405282,0.153703614,0.187873434,0.125650579,0.16210716,0.23835454,0.179627665,0.106581042,0.22612013,0.13374329,0.516200914,0.267560447,1.710863788,2.650055279,0.168581136,1.523872874,0.800892804,0.24755267,0.154294193,0.117571686,0.129156579,0.129528755,0.451164512,0.167722121,0.158179221,0.154949273,0.987247847,Control,Memantine,S/C,c-SC-m
